Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Waste,Renewable
2025-01-02 01:45:00,311.87,,,,4086.79,65.25,110.31,,,,337.02,2270.02,49491.07,,341.91,10460.51
2025-01-02 02:00:00,308.08,,,,4027.37,,110.37,,,,360.82,2270.18,49642.5,,342.54,10201.6
2025-01-02 02:15:00,307.68,,,,3853.38,,110.66,,,,260.03,2128.2,49298.44,,342.42,10242.52
2025-01-02 02:30:00,308.06,,,,3662.32,,110.4,,,,198.6,2066.66,49056.89,,343.55,10096.73
2025-01-02 02:45:00,306.99,,,,3565.97,,110.14,,,,142.98,1797.32,49321.95,,341.53,10087.18
2025-01-02 03:00:00,311.66,,,,3245.86,,110.74,,,,194.7,2160.17,49393.34,,341.22,10066.22
2025-01-02 03:15:00,309.0,,,,3085.83,,110.3,,,,230.56,2322.54,49210.42,,342.26,10095.48
2025-01-02 03:30:00,310.24,,,,3075.54,,110.61,,,,56.14,2199.76,49219.79,,342.8,10099.84
2025-01-02 03:45:00,311.06,,,,3082.49,,110.57,,,,38.28,2119.13,49284.82,,341.03,10012.85
2025-01-02 04:00:00,310.14,,,,3128.22,,110.16,,,,33.52,1974.62,49405.25,,339.67,9834.17
2025-01-02 04:15:00,315.05,,,,3149.43,,110.76,,,,36.64,2013.0,49435.33,,342.28,9639.04
2025-01-02 04:30:00,313.3,,,,3143.11,,110.64,,,,36.52,1940.68,49440.03,,340.65,9514.06
2025-01-02 04:45:00,309.8,,,,3133.74,,110.73,,,,36.79,1998.6,49446.77,,346.29,9421.26
2025-01-02 05:00:00,311.65,,,,3161.76,,110.27,,,,55.63,2110.22,49437.58,,346.19,9381.53
2025-01-02 05:15:00,311.33,,,,3212.01,,110.84,,,,59.72,2163.66,49460.76,,341.32,9457.07
2025-01-02 05:30:00,311.35,,,,3163.6,,110.8,,,,59.6,2129.63,49437.96,,340.63,9521.78
2025-01-02 05:45:00,314.03,,,,3210.27,,110.62,,,,59.63,2201.31,49447.08,,339.14,9514.68
2025-01-02 06:00:00,312.41,,,,3251.8,,110.16,,,,81.43,2176.53,49449.01,,340.13,9606.939999999999
2025-01-02 06:15:00,313.74,,,,3370.51,,110.81,,,,133.92,2460.05,49480.45,,338.49,9620.93
2025-01-02 06:30:00,314.53,,,,3397.63,,110.8,,,,209.58,2599.13,49477.66,,338.94,9634.029999999999
2025-01-02 06:45:00,310.23,,,,3392.42,,110.69,,,,280.75,2669.31,49479.11,,334.54,9748.869999999999
2025-01-02 07:00:00,310.28,,,,3468.8,,110.14,,,,528.68,2833.09,49456.08,,337.46,10080.380000000001
2025-01-02 07:15:00,310.84,,,,3806.11,,110.54,,,,699.69,2961.71,49431.14,,337.59,10098.16
2025-01-02 07:30:00,308.69,,,,3984.24,,110.2,,,,942.93,3092.02,49360.09,,337.16,10145.380000000001
2025-01-02 07:45:00,305.86,,,,4013.51,,110.06,,,,1097.65,3153.35,49359.62,,338.24,10152.42
2025-01-02 08:00:00,305.15,,,,4039.27,,109.87,,,,1166.06,3401.84,49387.32,,338.05,10663.92
2025-01-02 08:15:00,304.82,,,,4054.75,,110.62,,,,1257.26,3528.34,49389.84,,336.57,10836.15
2025-01-02 08:30:00,305.52,,,,4077.92,,110.66,,,,1630.85,3708.17,49377.33,,338.6,11009.78
2025-01-02 08:45:00,307.52,,,,4065.56,,110.43,,,,1715.48,3965.22,49399.79,,339.27,11195.369999999999
2025-01-02 09:00:00,307.38,,,,4055.99,,110.19,,,,1604.36,4030.55,49380.46,,338.19,11585.95
2025-01-02 09:15:00,310.04,,,,4300.62,,110.89,,,,1755.36,4008.95,49299.69,,337.84,12154.720000000001
2025-01-02 09:30:00,308.79,,,,4391.55,,110.08,,,,1819.96,3885.52,49406.13,,337.73,12680.69
2025-01-02 09:45:00,309.06,,,,4283.61,,109.58,,,,1589.45,3577.56,49536.3,,339.67,13505.74
2025-01-02 10:00:00,311.61,,,,4008.1,,110.41,,,,1198.4,3210.01,49692.59,,339.07,14014.93
2025-01-02 10:15:00,313.56,,,,3307.62,,111.0,,,,1142.89,2990.33,49732.76,,337.5,14715.68
2025-01-02 10:30:00,321.86,,,,2912.86,,111.0,,,,1230.57,2535.97,49772.01,,340.9,15122.809999999998
2025-01-02 10:45:00,321.3,,,,2516.1,,111.0,,,,558.02,2585.03,49736.96,,338.48,15719.330000000002
2025-01-02 11:00:00,323.84,,,,2298.44,,111.0,,,,385.34,2390.15,49660.05,,337.17,16021.39
2025-01-02 11:15:00,327.43,,,,2128.42,,111.0,,,,87.76,2401.0,49618.05,,335.97,16442.67
2025-01-02 11:30:00,330.78,,,,2091.65,,111.0,,,,43.08,2183.09,49574.83,,337.89,16787.71
2025-01-02 11:45:00,331.52,,,,2094.95,,111.0,,,,16.68,2012.81,49486.33,,338.45,17119.27
2025-01-02 12:00:00,332.11,,,,2096.3,,111.0,,,,95.75,1987.47,49542.27,,338.84,17249.02
2025-01-02 12:15:00,338.2,,,,2078.39,,111.0,,,,128.47,1860.21,49472.07,,337.19,17313.53
2025-01-02 12:30:00,335.38,,,,2066.73,,111.0,,,,181.14,1874.31,49541.13,,334.3,17482.280000000002
2025-01-02 12:45:00,335.48,,,,2070.87,,111.0,,,,142.32,1653.12,49394.9,,331.0,17629.77
2025-01-02 13:00:00,334.96,,,,2098.61,,111.0,,,,267.46,1888.55,49560.6,,329.74,17558.57
2025-01-02 13:15:00,335.44,,,,2063.0,,111.0,,,,355.31,1931.66,49536.98,,330.03,17199.55
2025-01-02 13:30:00,334.6,,,,2067.19,,111.0,,,,267.92,1938.13,49573.44,,332.29,16989.98
