"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2025 19:00:00 - 07/01/2025 20:00:00","BZN|SI","Without sequence","148.06","",""
"07/01/2025 20:00:00 - 07/01/2025 21:00:00","BZN|SI","Without sequence","136.85","",""
"07/01/2025 21:00:00 - 07/01/2025 22:00:00","BZN|SI","Without sequence","122.34","",""
"07/01/2025 22:00:00 - 07/01/2025 23:00:00","BZN|SI","Without sequence","112.47","",""
"07/01/2025 23:00:00 - 08/01/2025 00:00:00","BZN|SI","Without sequence","112.04","",""
"08/01/2025 00:00:00 - 08/01/2025 01:00:00","BZN|SI","Without sequence","83.43","",""
"08/01/2025 01:00:00 - 08/01/2025 02:00:00","BZN|SI","Without sequence","76.02","",""
"08/01/2025 02:00:00 - 08/01/2025 03:00:00","BZN|SI","Without sequence","74.03","",""
"08/01/2025 03:00:00 - 08/01/2025 04:00:00","BZN|SI","Without sequence","69.67","",""
"08/01/2025 04:00:00 - 08/01/2025 05:00:00","BZN|SI","Without sequence","86.77","",""
"08/01/2025 05:00:00 - 08/01/2025 06:00:00","BZN|SI","Without sequence","101.53","",""
"08/01/2025 06:00:00 - 08/01/2025 07:00:00","BZN|SI","Without sequence","124.83","",""
"08/01/2025 07:00:00 - 08/01/2025 08:00:00","BZN|SI","Without sequence","149.0","",""
"08/01/2025 08:00:00 - 08/01/2025 09:00:00","BZN|SI","Without sequence","148.17","",""
"08/01/2025 09:00:00 - 08/01/2025 10:00:00","BZN|SI","Without sequence","124.26","",""
"08/01/2025 10:00:00 - 08/01/2025 11:00:00","BZN|SI","Without sequence","109.28","",""
"08/01/2025 11:00:00 - 08/01/2025 12:00:00","BZN|SI","Without sequence","102.3","",""
"08/01/2025 12:00:00 - 08/01/2025 13:00:00","BZN|SI","Without sequence","104.02","",""
"08/01/2025 13:00:00 - 08/01/2025 14:00:00","BZN|SI","Without sequence","115.84","",""
"08/01/2025 14:00:00 - 08/01/2025 15:00:00","BZN|SI","Without sequence","125.79","",""
"08/01/2025 15:00:00 - 08/01/2025 16:00:00","BZN|SI","Without sequence","144.0","",""
"08/01/2025 16:00:00 - 08/01/2025 17:00:00","BZN|SI","Without sequence","152.73","",""
"08/01/2025 17:00:00 - 08/01/2025 18:00:00","BZN|SI","Without sequence","152.33","",""
"08/01/2025 18:00:00 - 08/01/2025 19:00:00","BZN|SI","Without sequence","149.4","",""
"08/01/2025 19:00:00 - 08/01/2025 20:00:00","BZN|SI","Without sequence","149.18","",""
"08/01/2025 20:00:00 - 08/01/2025 21:00:00","BZN|SI","Without sequence","136.68","",""
"08/01/2025 21:00:00 - 08/01/2025 22:00:00","BZN|SI","Without sequence","125.36","",""
"08/01/2025 22:00:00 - 08/01/2025 23:00:00","BZN|SI","Without sequence","116.36","",""
"08/01/2025 23:00:00 - 09/01/2025 00:00:00","BZN|SI","Without sequence","106.51","",""
"09/01/2025 00:00:00 - 09/01/2025 01:00:00","BZN|SI","Without sequence","106.62","",""
"09/01/2025 01:00:00 - 09/01/2025 02:00:00","BZN|SI","Without sequence","106.65","",""
"09/01/2025 02:00:00 - 09/01/2025 03:00:00","BZN|SI","Without sequence","104.04","",""
"09/01/2025 03:00:00 - 09/01/2025 04:00:00","BZN|SI","Without sequence","102.88","",""
"09/01/2025 04:00:00 - 09/01/2025 05:00:00","BZN|SI","Without sequence","107.47","",""
"09/01/2025 05:00:00 - 09/01/2025 06:00:00","BZN|SI","Without sequence","110.36","",""
"09/01/2025 06:00:00 - 09/01/2025 07:00:00","BZN|SI","Without sequence","121.85","",""
"09/01/2025 07:00:00 - 09/01/2025 08:00:00","BZN|SI","Without sequence","142.11","",""
"09/01/2025 08:00:00 - 09/01/2025 09:00:00","BZN|SI","Without sequence","154.28","",""
"09/01/2025 09:00:00 - 09/01/2025 10:00:00","BZN|SI","Without sequence","147.3","",""
"09/01/2025 10:00:00 - 09/01/2025 11:00:00","BZN|SI","Without sequence","139.39","",""
"09/01/2025 11:00:00 - 09/01/2025 12:00:00","BZN|SI","Without sequence","132.05","",""
"09/01/2025 12:00:00 - 09/01/2025 13:00:00","BZN|SI","Without sequence","122.7","",""
"09/01/2025 13:00:00 - 09/01/2025 14:00:00","BZN|SI","Without sequence","117.85","",""
"09/01/2025 14:00:00 - 09/01/2025 15:00:00","BZN|SI","Without sequence","121.3","",""
"09/01/2025 15:00:00 - 09/01/2025 16:00:00","BZN|SI","Without sequence","131.41","",""
"09/01/2025 16:00:00 - 09/01/2025 17:00:00","BZN|SI","Without sequence","139.87","",""
"09/01/2025 17:00:00 - 09/01/2025 18:00:00","BZN|SI","Without sequence","139.26","",""
"09/01/2025 18:00:00 - 09/01/2025 19:00:00","BZN|SI","Without sequence","142.92","",""
"09/01/2025 19:00:00 - 09/01/2025 20:00:00","BZN|SI","Without sequence","138.5","",""
"09/01/2025 20:00:00 - 09/01/2025 21:00:00","BZN|SI","Without sequence","129.34","",""
"09/01/2025 21:00:00 - 09/01/2025 22:00:00","BZN|SI","Without sequence","113.12","",""
"09/01/2025 22:00:00 - 09/01/2025 23:00:00","BZN|SI","Without sequence","102.89","",""
"09/01/2025 23:00:00 - 10/01/2025 00:00:00","BZN|SI","Without sequence","89.77","",""
"10/01/2025 00:00:00 - 10/01/2025 01:00:00","BZN|SI","Without sequence","87.24","",""
"10/01/2025 01:00:00 - 10/01/2025 02:00:00","BZN|SI","Without sequence","80.39","",""
"10/01/2025 02:00:00 - 10/01/2025 03:00:00","BZN|SI","Without sequence","76.62","",""
"10/01/2025 03:00:00 - 10/01/2025 04:00:00","BZN|SI","Without sequence","74.98","",""
"10/01/2025 04:00:00 - 10/01/2025 05:00:00","BZN|SI","Without sequence","71.11","",""
"10/01/2025 05:00:00 - 10/01/2025 06:00:00","BZN|SI","Without sequence","95.05","",""
"10/01/2025 06:00:00 - 10/01/2025 07:00:00","BZN|SI","Without sequence","121.38","",""
"10/01/2025 07:00:00 - 10/01/2025 08:00:00","BZN|SI","Without sequence","145.0","",""
"10/01/2025 08:00:00 - 10/01/2025 09:00:00","BZN|SI","Without sequence","155.0","",""
"10/01/2025 09:00:00 - 10/01/2025 10:00:00","BZN|SI","Without sequence","140.87","",""
"10/01/2025 10:00:00 - 10/01/2025 11:00:00","BZN|SI","Without sequence","123.57","",""
"10/01/2025 11:00:00 - 10/01/2025 12:00:00","BZN|SI","Without sequence","113.59","",""
"10/01/2025 12:00:00 - 10/01/2025 13:00:00","BZN|SI","Without sequence","107.43","",""
"10/01/2025 13:00:00 - 10/01/2025 14:00:00","BZN|SI","Without sequence","105.01","",""
"10/01/2025 14:00:00 - 10/01/2025 15:00:00","BZN|SI","Without sequence","110.01","",""
"10/01/2025 15:00:00 - 10/01/2025 16:00:00","BZN|SI","Without sequence","128.69","",""
"10/01/2025 16:00:00 - 10/01/2025 17:00:00","BZN|SI","Without sequence","143.28","",""
"10/01/2025 17:00:00 - 10/01/2025 18:00:00","BZN|SI","Without sequence","145.0","",""
"10/01/2025 18:00:00 - 10/01/2025 19:00:00","BZN|SI","Without sequence","145.99","",""
"10/01/2025 19:00:00 - 10/01/2025 20:00:00","BZN|SI","Without sequence","143.58","",""
"10/01/2025 20:00:00 - 10/01/2025 21:00:00","BZN|SI","Without sequence","134.94","",""
"10/01/2025 21:00:00 - 10/01/2025 22:00:00","BZN|SI","Without sequence","122.51","",""
"10/01/2025 22:00:00 - 10/01/2025 23:00:00","BZN|SI","Without sequence","119.9","",""
"10/01/2025 23:00:00 - 11/01/2025 00:00:00","BZN|SI","Without sequence","113.56","",""
"11/01/2025 00:00:00 - 11/01/2025 01:00:00","BZN|SI","Without sequence","109.43","",""
"11/01/2025 01:00:00 - 11/01/2025 02:00:00","BZN|SI","Without sequence","100.02","",""
"11/01/2025 02:00:00 - 11/01/2025 03:00:00","BZN|SI","Without sequence","96.69","",""
"11/01/2025 03:00:00 - 11/01/2025 04:00:00","BZN|SI","Without sequence","93.06","",""
"11/01/2025 04:00:00 - 11/01/2025 05:00:00","BZN|SI","Without sequence","92.19","",""
"11/01/2025 05:00:00 - 11/01/2025 06:00:00","BZN|SI","Without sequence","93.65","",""
"11/01/2025 06:00:00 - 11/01/2025 07:00:00","BZN|SI","Without sequence","95.07","",""
"11/01/2025 07:00:00 - 11/01/2025 08:00:00","BZN|SI","Without sequence","109.39","",""
"11/01/2025 08:00:00 - 11/01/2025 09:00:00","BZN|SI","Without sequence","113.14","",""
"11/01/2025 09:00:00 - 11/01/2025 10:00:00","BZN|SI","Without sequence","109.46","",""
"11/01/2025 10:00:00 - 11/01/2025 11:00:00","BZN|SI","Without sequence","105.34","",""
