"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2024 03:00:00 - 04/01/2024 04:00:00","BZN|BE","Without Sequence","25.48","",""
"04/01/2024 04:00:00 - 04/01/2024 05:00:00","BZN|BE","Without Sequence","35.00","",""
"04/01/2024 05:00:00 - 04/01/2024 06:00:00","BZN|BE","Without Sequence","57.73","",""
"04/01/2024 06:00:00 - 04/01/2024 07:00:00","BZN|BE","Without Sequence","72.65","",""
"04/01/2024 07:00:00 - 04/01/2024 08:00:00","BZN|BE","Without Sequence","85.02","",""
"04/01/2024 08:00:00 - 04/01/2024 09:00:00","BZN|BE","Without Sequence","91.47","",""
"04/01/2024 09:00:00 - 04/01/2024 10:00:00","BZN|BE","Without Sequence","94.20","",""
"04/01/2024 10:00:00 - 04/01/2024 11:00:00","BZN|BE","Without Sequence","91.59","",""
"04/01/2024 11:00:00 - 04/01/2024 12:00:00","BZN|BE","Without Sequence","90.00","",""
"04/01/2024 12:00:00 - 04/01/2024 13:00:00","BZN|BE","Without Sequence","86.26","",""
"04/01/2024 13:00:00 - 04/01/2024 14:00:00","BZN|BE","Without Sequence","85.96","",""
"04/01/2024 14:00:00 - 04/01/2024 15:00:00","BZN|BE","Without Sequence","92.11","",""
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|BE","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|BE","Without Sequence","101.93","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|BE","Without Sequence","121.22","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|BE","Without Sequence","129.28","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|BE","Without Sequence","110.95","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|BE","Without Sequence","96.94","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|BE","Without Sequence","88.50","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|BE","Without Sequence","85.07","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|BE","Without Sequence","87.67","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|BE","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|BE","Without Sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|BE","Without Sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|BE","Without Sequence","71.70","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|BE","Without Sequence","66.34","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|BE","Without Sequence","71.42","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|BE","Without Sequence","77.30","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|BE","Without Sequence","87.60","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|BE","Without Sequence","90.14","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|BE","Without Sequence","95.12","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|BE","Without Sequence","96.32","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|BE","Without Sequence","98.23","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|BE","Without Sequence","92.40","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|BE","Without Sequence","91.92","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|BE","Without Sequence","96.87","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|BE","Without Sequence","100.46","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|BE","Without Sequence","103.33","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|BE","Without Sequence","107.65","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|BE","Without Sequence","108.58","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|BE","Without Sequence","104.15","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|BE","Without Sequence","100.28","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|BE","Without Sequence","94.29","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|BE","Without Sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|BE","Without Sequence","86.80","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|BE","Without Sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|BE","Without Sequence","80.20","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|BE","Without Sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|BE","Without Sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|BE","Without Sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|BE","Without Sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|BE","Without Sequence","75.10","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|BE","Without Sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|BE","Without Sequence","88.40","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|BE","Without Sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|BE","Without Sequence","97.30","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|BE","Without Sequence","100.42","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|BE","Without Sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|BE","Without Sequence","92.20","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|BE","Without Sequence","92.11","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|BE","Without Sequence","90.42","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|BE","Without Sequence","91.33","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|BE","Without Sequence","104.41","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|BE","Without Sequence","103.63","",""
"06/01/2024 19:00:00 - 06/01/2024 20:00:00","BZN|BE","Without Sequence","99.00","",""
"06/01/2024 20:00:00 - 06/01/2024 21:00:00","BZN|BE","Without Sequence","92.14","",""
"06/01/2024 21:00:00 - 06/01/2024 22:00:00","BZN|BE","Without Sequence","88.00","",""
"06/01/2024 22:00:00 - 06/01/2024 23:00:00","BZN|BE","Without Sequence","86.57","",""
"06/01/2024 23:00:00 - 07/01/2024 00:00:00","BZN|BE","Without Sequence","79.87","",""
"07/01/2024 00:00:00 - 07/01/2024 01:00:00","BZN|BE","Without Sequence","84.08","",""
"07/01/2024 01:00:00 - 07/01/2024 02:00:00","BZN|BE","Without Sequence","79.82","",""
"07/01/2024 02:00:00 - 07/01/2024 03:00:00","BZN|BE","Without Sequence","76.76","",""
"07/01/2024 03:00:00 - 07/01/2024 04:00:00","BZN|BE","Without Sequence","73.46","",""
"07/01/2024 04:00:00 - 07/01/2024 05:00:00","BZN|BE","Without Sequence","71.86","",""
"07/01/2024 05:00:00 - 07/01/2024 06:00:00","BZN|BE","Without Sequence","72.08","",""
"07/01/2024 06:00:00 - 07/01/2024 07:00:00","BZN|BE","Without Sequence","74.90","",""
"07/01/2024 07:00:00 - 07/01/2024 08:00:00","BZN|BE","Without Sequence","77.69","",""
"07/01/2024 08:00:00 - 07/01/2024 09:00:00","BZN|BE","Without Sequence","81.79","",""
"07/01/2024 09:00:00 - 07/01/2024 10:00:00","BZN|BE","Without Sequence","84.86","",""
"07/01/2024 10:00:00 - 07/01/2024 11:00:00","BZN|BE","Without Sequence","87.14","",""
"07/01/2024 11:00:00 - 07/01/2024 12:00:00","BZN|BE","Without Sequence","89.13","",""
"07/01/2024 12:00:00 - 07/01/2024 13:00:00","BZN|BE","Without Sequence","88.66","",""
"07/01/2024 13:00:00 - 07/01/2024 14:00:00","BZN|BE","Without Sequence","84.81","",""
"07/01/2024 14:00:00 - 07/01/2024 15:00:00","BZN|BE","Without Sequence","84.34","",""
"07/01/2024 15:00:00 - 07/01/2024 16:00:00","BZN|BE","Without Sequence","88.01","",""
"07/01/2024 16:00:00 - 07/01/2024 17:00:00","BZN|BE","Without Sequence","93.42","",""
"07/01/2024 17:00:00 - 07/01/2024 18:00:00","BZN|BE","Without Sequence","101.77","",""
"07/01/2024 18:00:00 - 07/01/2024 19:00:00","BZN|BE","Without Sequence","104.85","",""
"07/01/2024 19:00:00 - 07/01/2024 20:00:00","BZN|BE","Without Sequence","103.55","",""
"07/01/2024 20:00:00 - 07/01/2024 21:00:00","BZN|BE","Without Sequence","100.50","",""
"07/01/2024 21:00:00 - 07/01/2024 22:00:00","BZN|BE","Without Sequence","93.31","",""
"07/01/2024 22:00:00 - 07/01/2024 23:00:00","BZN|BE","Without Sequence","91.17","",""
"07/01/2024 23:00:00 - 08/01/2024 00:00:00","BZN|BE","Without Sequence","83.86","",""
"08/01/2024 00:00:00 - 08/01/2024 01:00:00","BZN|BE","Without Sequence","87.03","",""
"08/01/2024 01:00:00 - 08/01/2024 02:00:00","BZN|BE","Without Sequence","84.30","",""
"08/01/2024 02:00:00 - 08/01/2024 03:00:00","BZN|BE","Without Sequence","81.69","",""
"08/01/2024 03:00:00 - 08/01/2024 04:00:00","BZN|BE","Without Sequence","78.97","",""
"08/01/2024 04:00:00 - 08/01/2024 05:00:00","BZN|BE","Without Sequence","78.46","",""
"08/01/2024 05:00:00 - 08/01/2024 06:00:00","BZN|BE","Without Sequence","82.10","",""
"08/01/2024 06:00:00 - 08/01/2024 07:00:00","BZN|BE","Without Sequence","94.30","",""
"08/01/2024 07:00:00 - 08/01/2024 08:00:00","BZN|BE","Without Sequence","111.08","",""
"08/01/2024 08:00:00 - 08/01/2024 09:00:00","BZN|BE","Without Sequence","121.11","",""
"08/01/2024 09:00:00 - 08/01/2024 10:00:00","BZN|BE","Without Sequence","117.83","",""
"08/01/2024 10:00:00 - 08/01/2024 11:00:00","BZN|BE","Without Sequence","110.59","",""
"08/01/2024 11:00:00 - 08/01/2024 12:00:00","BZN|BE","Without Sequence","103.00","",""
"08/01/2024 12:00:00 - 08/01/2024 13:00:00","BZN|BE","Without Sequence","95.46","",""
"08/01/2024 13:00:00 - 08/01/2024 14:00:00","BZN|BE","Without Sequence","94.58","",""
"08/01/2024 14:00:00 - 08/01/2024 15:00:00","BZN|BE","Without Sequence","100.00","",""
"08/01/2024 15:00:00 - 08/01/2024 16:00:00","BZN|BE","Without Sequence","107.98","",""
"08/01/2024 16:00:00 - 08/01/2024 17:00:00","BZN|BE","Without Sequence","116.81","",""
"08/01/2024 17:00:00 - 08/01/2024 18:00:00","BZN|BE","Without Sequence","129.19","",""
"08/01/2024 18:00:00 - 08/01/2024 19:00:00","BZN|BE","Without Sequence","129.99","",""
"08/01/2024 19:00:00 - 08/01/2024 20:00:00","BZN|BE","Without Sequence","121.85","",""
"08/01/2024 20:00:00 - 08/01/2024 21:00:00","BZN|BE","Without Sequence","114.16","",""
"08/01/2024 21:00:00 - 08/01/2024 22:00:00","BZN|BE","Without Sequence","102.48","",""
"08/01/2024 22:00:00 - 08/01/2024 23:00:00","BZN|BE","Without Sequence","99.75","",""
"08/01/2024 23:00:00 - 09/01/2024 00:00:00","BZN|BE","Without Sequence","91.49","",""
"09/01/2024 00:00:00 - 09/01/2024 01:00:00","BZN|BE","Without Sequence","84.51","",""
"09/01/2024 01:00:00 - 09/01/2024 02:00:00","BZN|BE","Without Sequence","83.29","",""
"09/01/2024 02:00:00 - 09/01/2024 03:00:00","BZN|BE","Without Sequence","85.00","",""
