"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"02/01/2024 09:30 - 02/01/2024 09:45","BZN|BE","9700.12","10123.54"
"02/01/2024 09:45 - 02/01/2024 10:00","BZN|BE","9782.81","10136.78"
"02/01/2024 10:00 - 02/01/2024 10:15","BZN|BE","9835.90","9869.51"
"02/01/2024 10:15 - 02/01/2024 10:30","BZN|BE","9826.29","9887.11"
"02/01/2024 10:30 - 02/01/2024 10:45","BZN|BE","9845.04","9898.79"
"02/01/2024 10:45 - 02/01/2024 11:00","BZN|BE","9907.20","9895.62"
"02/01/2024 11:00 - 02/01/2024 11:15","BZN|BE","9888.22","9934.40"
"02/01/2024 11:15 - 02/01/2024 11:30","BZN|BE","9955.00","9965.90"
"02/01/2024 11:30 - 02/01/2024 11:45","BZN|BE","10092.22","10032.08"
"02/01/2024 11:45 - 02/01/2024 12:00","BZN|BE","10181.06","10076.83"
"02/01/2024 12:00 - 02/01/2024 12:15","BZN|BE","10128.29","9999.95"
"02/01/2024 12:15 - 02/01/2024 12:30","BZN|BE","10114.64","9922.00"
"02/01/2024 12:30 - 02/01/2024 12:45","BZN|BE","10202.17","9914.86"
"02/01/2024 12:45 - 02/01/2024 13:00","BZN|BE","10275.57","9890.67"
"02/01/2024 13:00 - 02/01/2024 13:15","BZN|BE","10235.03","9907.55"
"02/01/2024 13:15 - 02/01/2024 13:30","BZN|BE","10272.62","9841.68"
"02/01/2024 13:30 - 02/01/2024 13:45","BZN|BE","10329.87","9833.70"
"02/01/2024 13:45 - 02/01/2024 14:00","BZN|BE","10276.37","9775.02"
"02/01/2024 14:00 - 02/01/2024 14:15","BZN|BE","10216.95","9713.98"
"02/01/2024 14:15 - 02/01/2024 14:30","BZN|BE","10207.05","9692.61"
"02/01/2024 14:30 - 02/01/2024 14:45","BZN|BE","10125.80","9680.37"
"02/01/2024 14:45 - 02/01/2024 15:00","BZN|BE","10113.12","9679.49"
"02/01/2024 15:00 - 02/01/2024 15:15","BZN|BE","10173.52","9702.72"
"02/01/2024 15:15 - 02/01/2024 15:30","BZN|BE","10123.53","9682.66"
"02/01/2024 15:30 - 02/01/2024 15:45","BZN|BE","10047.35","9677.44"
"02/01/2024 15:45 - 02/01/2024 16:00","BZN|BE","9982.86","9675.88"
"02/01/2024 16:00 - 02/01/2024 16:15","BZN|BE","9984.93","9669.88"
"02/01/2024 16:15 - 02/01/2024 16:30","BZN|BE","9980.36","9696.77"
"02/01/2024 16:30 - 02/01/2024 16:45","BZN|BE","10090.48","9762.26"
"02/01/2024 16:45 - 02/01/2024 17:00","BZN|BE","10297.41","9916.16"
"02/01/2024 17:00 - 02/01/2024 17:15","BZN|BE","10431.10","10132.16"
"02/01/2024 17:15 - 02/01/2024 17:30","BZN|BE","10423.63","10198.16"
"02/01/2024 17:30 - 02/01/2024 17:45","BZN|BE","10411.70","10268.61"
"02/01/2024 17:45 - 02/01/2024 18:00","BZN|BE","10440.34","10311.61"
"02/01/2024 18:00 - 02/01/2024 18:15","BZN|BE","10501.11","10351.62"
"02/01/2024 18:15 - 02/01/2024 18:30","BZN|BE","10590.38","10309.28"
"02/01/2024 18:30 - 02/01/2024 18:45","BZN|BE","10593.33","10271.95"
"02/01/2024 18:45 - 02/01/2024 19:00","BZN|BE","10589.08","10193.80"
"02/01/2024 19:00 - 02/01/2024 19:15","BZN|BE","10396.02","10111.80"
"02/01/2024 19:15 - 02/01/2024 19:30","BZN|BE","10085.77","9999.71"
"02/01/2024 19:30 - 02/01/2024 19:45","BZN|BE","10011.86","9885.43"
"02/01/2024 19:45 - 02/01/2024 20:00","BZN|BE","9882.78","9770.34"
"02/01/2024 20:00 - 02/01/2024 20:15","BZN|BE","9823.82","9538.67"
"02/01/2024 20:15 - 02/01/2024 20:30","BZN|BE","9575.14","9406.98"
"02/01/2024 20:30 - 02/01/2024 20:45","BZN|BE","9530.55","9299.84"
"02/01/2024 20:45 - 02/01/2024 21:00","BZN|BE","9284.08","9201.06"
"02/01/2024 21:00 - 02/01/2024 21:15","BZN|BE","9036.39","9063.55"
"02/01/2024 21:15 - 02/01/2024 21:30","BZN|BE","9114.13","8947.55"
"02/01/2024 21:30 - 02/01/2024 21:45","BZN|BE","8977.60","8806.23"
"02/01/2024 21:45 - 02/01/2024 22:00","BZN|BE","8911.03","8709.40"
"02/01/2024 22:00 - 02/01/2024 22:15","BZN|BE","8908.20","8816.57"
"02/01/2024 22:15 - 02/01/2024 22:30","BZN|BE","8807.31","8840.41"
"02/01/2024 22:30 - 02/01/2024 22:45","BZN|BE","8829.46","8848.55"
"02/01/2024 22:45 - 02/01/2024 23:00","BZN|BE","8666.21","8779.87"
"02/01/2024 23:00 - 02/01/2024 23:15","BZN|BE","8779.75","8830.64"
"02/01/2024 23:15 - 02/01/2024 23:30","BZN|BE","8681.36","8723.62"
