"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/01/2024 00:00 - 07/01/2024 01:00","BZN|FR","57066.00","57300.00"
"07/01/2024 01:00 - 07/01/2024 02:00","BZN|FR","55416.00","54700.00"
"07/01/2024 02:00 - 07/01/2024 03:00","BZN|FR","54491.00","54350.00"
"07/01/2024 03:00 - 07/01/2024 04:00","BZN|FR","52059.00","51600.00"
"07/01/2024 04:00 - 07/01/2024 05:00","BZN|FR","50455.00","50100.00"
"07/01/2024 05:00 - 07/01/2024 06:00","BZN|FR","50817.00","50050.00"
"07/01/2024 06:00 - 07/01/2024 07:00","BZN|FR","51905.00","51050.00"
"07/01/2024 07:00 - 07/01/2024 08:00","BZN|FR","53393.00","52650.00"
"07/01/2024 08:00 - 07/01/2024 09:00","BZN|FR","55145.00","54750.00"
"07/01/2024 09:00 - 07/01/2024 10:00","BZN|FR","57802.00","57100.00"
"07/01/2024 10:00 - 07/01/2024 11:00","BZN|FR","60530.00","60000.00"
"07/01/2024 11:00 - 07/01/2024 12:00","BZN|FR","62324.00","61700.00"
"07/01/2024 12:00 - 07/01/2024 13:00","BZN|FR","63705.00","63800.00"
"07/01/2024 13:00 - 07/01/2024 14:00","BZN|FR","61564.00","62550.00"
"07/01/2024 14:00 - 07/01/2024 15:00","BZN|FR","60613.00","61600.00"
"07/01/2024 15:00 - 07/01/2024 16:00","BZN|FR","59790.00","61350.00"
"07/01/2024 16:00 - 07/01/2024 17:00","BZN|FR","59040.00","59850.00"
"07/01/2024 17:00 - 07/01/2024 18:00","BZN|FR","61440.00","61600.00"
"07/01/2024 18:00 - 07/01/2024 19:00","BZN|FR","65506.00","65150.00"
"07/01/2024 19:00 - 07/01/2024 20:00","BZN|FR","66885.00","67000.00"
"07/01/2024 20:00 - 07/01/2024 21:00","BZN|FR","64693.00","65450.00"
"07/01/2024 21:00 - 07/01/2024 22:00","BZN|FR","62629.00","63250.00"
"07/01/2024 22:00 - 07/01/2024 23:00","BZN|FR","62893.00","61900.00"
"07/01/2024 23:00 - 08/01/2024 00:00","BZN|FR","62801.00","63300.00"
"08/01/2024 00:00 - 08/01/2024 01:00","BZN|FR","60632.00","60900.00"
"08/01/2024 01:00 - 08/01/2024 02:00","BZN|FR","59142.00","58450.00"
"08/01/2024 02:00 - 08/01/2024 03:00","BZN|FR","58780.00","58600.00"
"08/01/2024 03:00 - 08/01/2024 04:00","BZN|FR","57014.00","57100.00"
"08/01/2024 04:00 - 08/01/2024 05:00","BZN|FR","56557.00","56650.00"
"08/01/2024 05:00 - 08/01/2024 06:00","BZN|FR","59548.00","58650.00"
"08/01/2024 06:00 - 08/01/2024 07:00","BZN|FR","65468.00","63550.00"
"08/01/2024 07:00 - 08/01/2024 08:00","BZN|FR","71080.00","70850.00"
"08/01/2024 08:00 - 08/01/2024 09:00","BZN|FR","74112.00","75500.00"
"08/01/2024 09:00 - 08/01/2024 10:00","BZN|FR","75720.00","76650.00"
"08/01/2024 10:00 - 08/01/2024 11:00","BZN|FR","76521.00","77050.00"
"08/01/2024 11:00 - 08/01/2024 12:00","BZN|FR","77504.00","77000.00"
"08/01/2024 12:00 - 08/01/2024 13:00","BZN|FR","77224.00","77150.00"
"08/01/2024 13:00 - 08/01/2024 14:00","BZN|FR","75642.00","74850.00"
"08/01/2024 14:00 - 08/01/2024 15:00","BZN|FR","75575.00","74350.00"
"08/01/2024 15:00 - 08/01/2024 16:00","BZN|FR","74755.00","73600.00"
"08/01/2024 16:00 - 08/01/2024 17:00","BZN|FR","73624.00","72850.00"
"08/01/2024 17:00 - 08/01/2024 18:00","BZN|FR","75796.00","74400.00"
"08/01/2024 18:00 - 08/01/2024 19:00","BZN|FR","79460.00","78200.00"
"08/01/2024 19:00 - 08/01/2024 20:00","BZN|FR","79937.00","79100.00"
"08/01/2024 20:00 - 08/01/2024 21:00","BZN|FR","76032.00","75750.00"
"08/01/2024 21:00 - 08/01/2024 22:00","BZN|FR","72579.00","71900.00"
"08/01/2024 22:00 - 08/01/2024 23:00","BZN|FR","72429.00","69950.00"
"08/01/2024 23:00 - 09/01/2024 00:00","BZN|FR","71951.00","71650.00"
"09/01/2024 00:00 - 09/01/2024 01:00","BZN|FR","69500.00","69150.00"
"09/01/2024 01:00 - 09/01/2024 02:00","BZN|FR","68501.00","67000.00"
"09/01/2024 02:00 - 09/01/2024 03:00","BZN|FR","68037.00","67050.00"
"09/01/2024 03:00 - 09/01/2024 04:00","BZN|FR","65870.00","64400.00"
"09/01/2024 04:00 - 09/01/2024 05:00","BZN|FR","65145.00","62950.00"
"09/01/2024 05:00 - 09/01/2024 06:00","BZN|FR","67826.00","64500.00"
"09/01/2024 06:00 - 09/01/2024 07:00","BZN|FR","73084.00","69000.00"
"09/01/2024 07:00 - 09/01/2024 08:00","BZN|FR","78223.00","75300.00"
"09/01/2024 08:00 - 09/01/2024 09:00","BZN|FR","80767.00","79000.00"
"09/01/2024 09:00 - 09/01/2024 10:00","BZN|FR","81582.00","79900.00"
"09/01/2024 10:00 - 09/01/2024 11:00","BZN|FR","81775.00","79800.00"
"09/01/2024 11:00 - 09/01/2024 12:00","BZN|FR","82149.00","79700.00"
"09/01/2024 12:00 - 09/01/2024 13:00","BZN|FR","81338.00","79550.00"
"09/01/2024 13:00 - 09/01/2024 14:00","BZN|FR","79529.00","77350.00"
"09/01/2024 14:00 - 09/01/2024 15:00","BZN|FR","78653.00","76800.00"
"09/01/2024 15:00 - 09/01/2024 16:00","BZN|FR","77163.00","75400.00"
"09/01/2024 16:00 - 09/01/2024 17:00","BZN|FR","76341.00","74900.00"
"09/01/2024 17:00 - 09/01/2024 18:00","BZN|FR","78498.00","76200.00"
